tanggal,judul,konten
"Maret 2, 2022",Video “ANAK VESPA UKRAINABANTU TENTARA PENERJUN RUSIAYANG PARASUT NYA NYANGKUT”,"= = = = =NARASI:“ANAK VESPA UKRAINABANTU TENTARA PENERJUN RUSIAYANG PARASUT NYA NYANGKUT”= = = = =PENJELASAN:Akun TikTok dengan nama pengguna “dailyriau1” mengunggah sebuah video yang menunjukkan seorang pengendara vespa yang membantu seorang tentara yang terjebak di parasutnya. Video tersebut juga disertai narasi yang menyatakan bahwa pengendara vespa dalam video tersebut merupakan pengendara vespa asal Ukraina yang membantu seorang penerjun payung asal Rusia yang terjebak.Berdasarkan hasil penelusuran, video tersebut bukan merupakan video pengendara vespa asal Ukraina yang menolong penerjun payung asal Rusia yang terjebak di parasutnya, melainkan merupakan video komedi yang dibuat oleh YouTuber asal Perancis, Rémi Gaillard. Video tersebut pertama kali diunggah pada 6 Juli 2009. Potongan video yang diunggah oleh akun TikTok “dailyriau1” merupakan potongan dari menit 1:53 hingga 2:06.Rémi Gaillard sendiri merupakan YouTuber asal Perancis yang sering mengunggah konten berupa video lelucon yang dilakukan di fasilitas umum, seperti jalan raya, pantai, hingga supermarket.Dengan demikian, narasi yang diunggah oleh akun TikTok dengan nama pengguna “dailyriau1” tersebut dapat dikategorikan sebagai Konteks yang Salah/False Content."
"Maret 1, 2022",Video Ledakan “Ukraina vs Rusia”,
"Februari 28, 2022",Sutradara Asal Ukraina Membuat Video Warga Berlarian untuk Menunjukkan Rusia Menargetkan Warga Sipil,
"Februari 28, 2022",Pesawat Kargo China Yang Mendarat di Bandara Soetta Tanpa Izin Ternyata Menyebarkan Chemtrail,
"Februari 28, 2022",Video Gambaran Serangan Rusia ke Ukraina,[Terjemahan]“YA TUHAN!!! Rusia baru saja menyerang Ukraina! Lihat cuplikan iniBREAKING NEWS: RUSIA HANYA MENYERANG UKRAINA!”= = =Penjelasan:Beredar sebuah video di media sosial yang menunjukkan tembakan dan serangan yang diklaim merupakan serangan dari Rusia kepada Ukraina.
"Februari 28, 2022",Video Ledakan Invasi Rusia ke Ukraina pada Tahun 2022,"= = =Penjelasan:Beredar sebuah video di media sosial yang diklaim sebagai serangan dari Rusia ke Ukraina. Video tersebut menunjukkan bangunan yang dihancurkan akibat ledakan dari serangan udara Rusia.Setelah ditelusuri, informasi tersebut salah. Faktanya, dilansir dari AFP, video tersebut menunjukkan ledakan mematikan yang melanda ibu kota Lebanon, Beirut, pada Agustus 2020."
"Februari 28, 2022",Seekor Ayam Memiliki Penis Mirip Seperti Penis Manusia,"= = =Penjelasan:Beredar sebuah video di media sosial yang menunjukkan seekor ayam memiliki kelainan yang tidak biasa seperti pada umumnya. Video tersebut viral di media sosial dan diklaim sebagai seekor ayam yang memiliki penis seperti penis manusia.Setelah ditelusuri, informasi tersebut keliru. Faktanya, dilansir dari Chicken Scratch, ayam jantan tidak memiliki penis. Apa yang dimiliki ayam jantan adalah papila atau tonjolan kecil di kloaka mereka yang memungkinkan mereka berhasil kawin dengan ayam."
"Februari 28, 2022",Pesan Undangan Psikotes PT Astra,"NARASI:“Selamat soreKpd. Sdr/iPengajuan lamaran anda yang telah anda tujukan untuk PT ASTRA (GROUP) Via Formulir Pendaftaran Online telah kami terima. Selanjutnya harap hadir untuk menjalani Psikotes pada jadwal dan tempat sebagai berikut : ⬇️Waktu : ⬇️Hari Jum’at, 25-02-2022Pada Pkl 08.00 s/d 11.00 WIBBertempat di : ⬇️Recruitment OfficeJL. Raya I Gusti Ngurah RaiNo. 8. Duren Sawit, Kota Jakarta Timur (Sebrang STASIUN KLENDER BARU, Kaca Hitam)(3 KM Dari Terminal Pulo Gebang)Untuk posisi : Operator ProduksiBertemu dengan Bpk. Rian (K-HR)Note :Terima kasih.“= = = =PENJELASAN:Beredar sebuah narasi melalui pesan Whatsapp yang menginformasikan undangan psikotes untuk lowongan kerja di PT. Astra Tbk. Narasi tersebut juga menginformasikan jadwal serta alamat berlangsungnya psikotes."
"Februari 28, 2022",Ilmuwan Jerman Mengumumkan bahwa Berkumur dengan Air Garam dapat Menghilangkan Virus Covid-19,"NARASI:“Akhirnya virus Corona hilang dengan Cara Pencegahan Jerman ini.Ilmuwan Jerman mengumumkan, setelah serangkaian penelitian, bahwa virus Corona tidak hanya berkembang biak di paru-paru seperti virus SARS pada tahun 2002, tetapi juga menyebar luas di tenggorokan selama minggu pertama infeksiDan kini, setelah mengumumkan hasil eksperimen yang dilakukan oleh ahli biologi Jerman tentang perkembangbiakan virus Corona di tenggorokan, mereka kembali menekankan perlunya berkumur dengan larutan air dan garam yang agak panas. Ilmuwan Jerman meyakinkan Kementerian Kesehatan Jerman : Jika semua orang mau beberapa kali sehari berkumur dengan larutan air garam agak-panas, maka virus akan sepenuhnya hilang di seluruh Jerman dalam waktu seminggu.[…](Lanjutan narasi dicantumkan setelah referensi)= = = =PENJELASAN:Beredar sebuah narasi melalui pesan Whatsapp yang menginformasikan bahwa Ilmuwan Jerman menemukan cara untuk menghilangkan virus Covid-19, yaitu dengan berkumur dengan air garam panas.Setelah melakukan penelusuran, hal tersebut tidak benar. Tidak ada pernyataan resmi dan valid bahwa berkumur dengan air garam panas dapat menghilangkan virus Covid-19. Selain itu, narasi pesan Whatsapp tersebut tidak menyebutkan secara spesifik nama Ilmuwan Jerman yang memberikan klaim dan tidak ada berita atau penelitian dari Jerman yang menginformasikan hal tersebut.Dengan demikian, narasi pada pesan Whatsapp yang menginformasikan bahwa Ilmuwan Jerman menyebutkan berkumur dengan air garam panas dapat menghilangkan virus Covid-19 tidak sesuai fakta dan masuk ke dalam kategori misleading content atau konten yang menyesatkan.= = = =REFERENSI:https://www.thequint.com/news/webqoof/german-scientists-have-not-said-gargle-with-warm-alkaline-water-will-kill-covid-19#read-more= = = =(Lanjutan narasi)Eksperimen telah menunjukkan bahwa dengan berkumur dengan larutan air dan garam, kita terus-menerus mengubah tenggorokan kita menjadi lingkungan yang sepenuhnya basa, dan lingkungan ini adalah lingkungan terburuk untuk virus corona, karena dengan air garam, pH mulut berubah menjadi basa. pH, dan jika kita berkumur beberapa kali sehari dengan berkumur dengan air garam agak panas, kita tidak memberi kesempatan pada virus corona untuk berkembang biak"
"Februari 28, 2022",Foto Sapi Bertelur untuk Mempercepat Produksi Telur dari Pemerintah China,"====Narasi:“China plants chicken organs in other animals for faster egg production. The Chinese government has once again shown its advances in technology, and this time in the animal kingdom. The Chinese planted organs of gall in other animals for faster egg production.”“China menanam organ ayam pada hewan lain untuk produksi telur yang lebih cepat. Pemerintah China sekali lagi menunjukkan kemajuan teknologinya, dan kali ini di dunia hewan. Orang China menanam organ empedu pada hewan lain untuk produksi telur yang lebih cepat.”====Penjelasan:Akun Twitter Jagaban of Africa (@Ecollins10) mengunggah cuitan berupa foto sapi bertelur yang diklaim sebagai teknologi penanaman organ ayam pada hewan lain dari pemerintah China untuk mempercepat produksi telur. Cuitan yang diunggah pada 20 Februari 2022 telah mendapat atensi berupa 8 suka dan 6 retweet.Berdasarkan hasil penelusuran, foto tersebut adalah hasil manipulasi dari foto sapi ternak berjenis Belgian Blue yang diambil oleh Eric Forget pada 26 Juli 2008 di pameran pertanian Libramont, Belgia Tenggara. Foto itu diunggah Eric pada situs Flickr dan juga digunakan oleh portal berita asal Belanda, Mondiaal Nieuws di artikel berjudul “Boeren verdeeld over landbouwcrisis” terbit pada 1 Agustus 2018.Sebagai tambahan, tidak ditemukan informasi terkait “kemajuan teknologi” di dunia peternakan China seperti yang diklaim dalam cuitan di atas. Mengutip dari AFP Fact Check, insinyur peternakan di Sekolah Ilmu Pertanian dan Kehidupan (Ecole Nationale Supérieure Agronomique de Toulouse – Ensat) bernama Yayu Huang, mengonfirmasi bahwa tidak ada perkembangan teknologi seperti itu dan menganggap hal tersebut tidak masuk akal.“Saya tidak berpikir ada ‘kemajuan’ seperti itu di China. Ayam petelur dipilih untuk menghasilkan telur dan mereka sudah sangat efisien,” jelas Huang.Dengan demikian, cuitan akun Twitter Jagaban of Africa (@Ecollins10) dikategorikan sebagai Konten yang Dimanipulasi."
"Februari 28, 2022",Foto “Full moon rising – Mount Kilimanjaro ( Tanzania ).”,"====Narasi:“Full moon rising – Mount Kilimanjaro ( Tanzania ).”====Penjelasan:Akun Twitter Neil Degrease Tyson (@DegreaseNeil) mengunggah cuitan berupa foto bulan purnama di atas Gunung Kilimanjaro, Tanzania. Cuitan yang diunggah pada 23 Februari 2022 telah mendapat atensi berupa 35 suka dan 8 retweet.Berdasarkan hasil penelusuran, foto cuitan tersebut telah melalui proses penyuntingan. Foto asli dari cuitan tersebut adalah foto Gunung Kilimanjaro tanpa bulan purnama yang telah beredar sejak tahun 2013 dan digunakan untuk artikel di beberapa situs, seperti itravelnet.com, tonpetitlook, Facts For Kids, serta imgur. Selain itu, akun Twitter yang mencuit foto Gunung Kilimanjaro merupakan akun palsu dari ahli astrofisika bernama Neil deGrasse Tyson. Akun asli ahli astrofisika itu adalah @neiltyson yang memiliki 14,5 juta pengikut serta telah terverifikasi oleh Twitter.Dengan demikian, cuitan akun Twitter Neil Degrease Tyson (@DegreaseNeil) dikategorikan sebagai Konten yang Dimanipulasi."
"Februari 28, 2022",Foto “this is an Amazing shot of San Francisco!!”,"====Narasi:“Not sure who the photographer is, but this is an Amazing shot of San Francisco!!”====Penjelasan:Akun Twitter Debbie Ryan (@MsDebbieDebDeb) mengunggah cuitan berupa foto pemandangan kota San Francisco pada 21 Februari 2022. Cuitan tersebut telah mendapat atensi lebih dari 440 ribu suka dan 47 ribu retweet.Berdasarkan hasil penelusuran, foto cuitan tersebut adalah hasil gabungan dari dua foto kota San Francisco karya fotografer bernama Tristan Zhou. Foto itu Zhou unggah di laman Instagram pribadinya (@trystane) pada 28 November 2021 dengan judul “San Franception”. Di samping itu, Zhou juga melelang hasil karyanya sebagai NFT pada platform bernama Foundation."
"Februari 28, 2022","Vaksin Covid 19 Tidak Berguna, karena Bermutasi menjadi Ribuan Varian Covid Baru",
"Februari 28, 2022",Anjuran Ahli Virologi Agar Penerima Vaksin Dosis Ketiga Tes HIV Karena Vaksin Covid Menyebabkan HIV,"“Penting untuk kalian ketahui, bhwa peraih nobel bidang bidang virologi Dr. Luc Montgaire bepesan: “bagi anda yang telah menyelesaikan vaksin dosis ke 3 segera lakukan test HIV”. dari hasil study laboratorium, bhw vaksin covid megandung spike protein yg menyebabkan HIV”=====[PENJELASAN]:Beredar sebuah unggahan dari akun Twitter @suara_pembebasa yang memberi informasi dari ahli virologi dan pemenang Nobel bidang Kedokteran dan Fisiologi 2008 Dr Luc Montagnier yang menyarankan orang yang menyelesaikan vaksin dosis ke 3 agar segera melakukan test HIV. Selain itu dalam narasi tersebut menyebutkan bahwa vaksin Covid-19 mengandung spike protein yang menyebabkan HIV.Namun setelah ditelusuri, narasi yang ada di dalam gambar tersebut tidak benar. Melansir Eastmojo.com, Vineeta Bal seorang ahli imunologi mengatakan bahwa tidak ada bukti yang menunjukkan bahwa Montaignier membuat klaim yang disebutkan dalam narasi di atas. Dia juga mengatakan bahwa vaksin Covid-19 sama sekali tidak meningkatkan kerentanan terhadap infeksi HIV."
"Februari 28, 2022",Kajol Devgan Meninggal Dunia,Dari aku kecil smpai sekarang nama samaran ku Anjeli karna aku fens berat dari dulu sama Kajol/Anjeli.Sedih juga woi kalo ini benar Dari aku kecil artis india ini si Kajol jdi lope2.jadi favorit sampai sekarang.Masih percaya gak percaya sma berita nya.
"Februari 28, 2022",Waspada Dengan Bandara Kertajati Subang Jawa Barat !!,"Sumber: Facebook Messengerhttps://archive.fo/https://turnbackhoax.id/wp-content/uploads/2022/02/2022-02-26_18-27.png===================Penjelasan:Berdasarkan hasil penelusuran bahwa klaim mengenai bandara Kertajati yang melayani penerbangan komersil khususnya WNA china dan disinyalir menjadi “bengkel pesawat” Po An Tui adalah tidak benar.Dilansir dari Jabar Hoaks ketika mengkonfirmasi ke PT. BIJB. Corporate Secretary & Public Communication BIJB menegaskan bahwa informasi tersebut adalah tidak benar. Disebutkan bahwa Bandara Kertajati yg berlokasi di Majalengka sampai dengan saat ini belum melayani kembali penerbangan reguler sejak bulan April 2020 karena dampak pandemi covid 19.Direktur Utama, PT Bandarudara Internasional Jawa Barat (BIJB), Salahudin Rafi, mengungkapkan tak ada lalu penerbangan di saat itu. Pandemi membuat pergerakan tersebut terhambat. Di awal 2021 ini, Bandara Kertajati sudah mulai melayani penerbangan kargo. Salahudin mengakui potensi penumpang di Bandara Kertajati sangat besar. Hanya saja, akses khususnya dari Kota Bandung masih belum terjangkau. Ia merasa permasalahan itu bisa selesai kalau Tol Cisumdawu sudah beroperasi.Terkait klaim Bandara Kertajati dijadikan “bengkel pesawat” kelompok Pao An Tui juga tidak berdasar. “bengkel pesawat” yang dimaksud adalah Manajemen PT Bandarudara Internasional Jawa Barat (BIJB) dan PT Garuda Maintenance Facillity (GMF) telah menandatangani kerjasama untuk mempersiapkan fasilitas maintenance, repair and overhaul (MRO) pesawat komersial maupun pesawat milik pemerintah baik TNI/Polri maupun Badan Nasional Penanggulangan Bencana (BNPB).Konten serupa sudah pernah beredar sebelumnya dan diverifikasi di laman turnbackhoax.id pada 18 April 2021 berjudul “[SALAH] Foto Bandara Kertajati Mangkrak Jadi Bengkel Pesawat Juga Service Sepeda Motor”. Dengan demikian, klaim bandara Kertajati melayani penerbangan komersil khususnya WNA china dan menjadi “bengkel pesawat” Po An Tui adalah tidak benar dan masuk ke dalam kategori konten yang menyesatkan.REFERENSI:http://bijb.co.id/content/hoax-bandara-kertajati-melayani-penerbangan-komersil-dan-dijadikan-bengkel-pesawat-pao-tui?language=idhttps://turnbackhoax.id/2021/04/18/salah-foto-bandara-kertajati-mangkrak-jadi-bengkel-pesawat-juga-service-sepeda-motor/https://kumparan.com/kumparanbisnis/pengelola-bandara-kertajati-tak-ada-penerbangan-komersial-sejak-awal-pandemi-1vSfWs6xO9m(Narasi Lanjutan)Setibanya di bandara Hang Nadim Batam, tidak satupun TKA China itu melewati tempat pengambilan bagasi?Berarti mereka dijemput pakai Bus dibandara, diarea parkir pesawat?? Tolong di Share ke rakyat sebanyak banyaknya …"
"Februari 28, 2022",Butiran Es Hasil Fenomena Hujan Es Dapat Meningkatkan Imunitas Tubuh,"Narasi:“Fenomena Hujan ES!Dulu ketika masih kanak2 terjadi hujan es,ibu membiarkan kami behujan2n dihalaman sambil sesekali kami makan esnya dan sampe sekarang beliau masih msh mengingatkan beliau tidak melarang,Ternyata banyak hikmahnya!1.imun tubuh2.bersyukur3………‘Allahumma shayyiban nafi’an.’Ya Allah, curahkanlah air hujan yang bermanfaat.(HR Bukhari dari Aisyah RA)”.===Penjelasan:Beberapa waktu lalu sempat beredar informasi terkait dengan manfaat butiran es hasil fenomena hujan es yang dikatakan mampu untuk meningkatkan imunitas tubuh apabila dikonsumsi."
"Februari 28, 2022",Lowongan Pekerjaan Staff Vaksinasi Booster Dinas Kesehatan Provinsi Jawa Barat,"Narasi:“DINAS KESEHATAN PROV. JAWA BARATMEMBUTUHKAN POSISISTAFF VAKSINASI BOOSTER (MIN D3/S1)STAFF KANTOR PELAYANAN (SMA/SMK)TATA USAHA UMUMInfo Lengkap CP 085785556489Alamat Kantor :Jl. Pasteur No. 25, Pasir Kaliki, Kec. Cicendo, Kota Bandung, Jawa Barat”.==="
"Februari 28, 2022",Video “si Menag diusir Di kampung muslim”,"Video yang identik dengan video yang diunggah oleh sumber klaim, diunggah oleh kanal Youtube Amil Islam Channel pada 19 September 2018 dengan judul “JANGAN AJARI ORANG MELAYU | ACARA GP ANSOR DAN BANSER DI BATALKAN”Sebelumnya, klaim yang mirip pernah diperiksa faktanya di artikel berjudul [SALAH] Video “Mentri agama Yaqut di usir ketika hadir di tanah melayu” yang terbit di turnbackhoax.id pada 6 Januari 2021. Dilansir dari artikel ini saat itu Ketua GP Ansor Riau, Purwaji bertemu dengan Ketua DPH LAMR, Datuk Seri Syahril Abu Bakar."
"Februari 28, 2022",Melakukan Tes PCR Sama Dengan Mendapatkan Vaksinasi,
"Februari 28, 2022",Antigen Test Kits Tidak Dapat Diandalkan untuk Mendeteksi Covid-19,
"Februari 27, 2022","Foto Tangkapan Layar Berita Okezone “Hukum Mengeluarkan Sperma di Luar Kemaluan Istri, Itu Halal Asal ditelan mentah2.”","====Narasi:“Ooohhhh…..my crooottt…! 🥱#AgamaTerkenthu”Narasi dalam foto:“Hukum Mengeluarkan Sperma di Luar Kemaluan Istri, Itu Halal Asal ditelan mentah2.”====Penjelasan:Akun Twitter Shery🍃#2022 (@gadisresidu_b3) mengunggah cuitan berupa foto tangkapan layar berita Okezone berjudul “Hukum Mengeluarkan Sperma di Luar Kemaluan Istri, Itu Halal Asal ditelan mentah2.” Cuitan yang diunggah pada 16 Februari 2022 itu telah mendapat atensi berupa 92 suka dan 25 retweet.Berdasarkan hasil penelusuran, foto tersebut adalah hasil suntingan dari berita Okezone berjudul “Hukum Mengeluarkan Sperma di Luar Kemaluan Istri, Ini Kata Ustadz Abdul Somad” yang terbit pada 23 November 2021. Dalam berita itu, Ustadz Abdul Somad (UAS) menjelaskan bahwa halal hukumnya mengeluarkan sperma di luar kemaluan istri yang dalam Islam disebut sebagai ‘azl. Okezone mengutip penjelasan UAS dari video yang diunggah kanal YouTube Motivasi Hijrah."
"Februari 27, 2022",Foto Tangkapan Layar Berita Detikcom “Jokowi: saya tidak berminat tiga periode kecuali dipaksa rakyat”,"====Narasi:“Hmmm…apa bener begitu ??? Rakyat mana yg maksa ? Rakyat atw bapak yg maksa ???”Narasi dalam foto:“Jokowi: saya tidak berminat tiga periode kecuali dipaksa rakyat”====Penjelasan:Akun Twitter Nong Nayara (@NN4y4r4__) mengunggah cuitan berupa foto tangkapan layar berita Detikcom berjudul “Jokowi: saya tidak berminat tiga periode kecuali dipaksa rakyat” pada 21 Februari 2022. Cuitan tersebut telah mendapat atensi berupa 967 suka dan 255 retweet.Berdasarkan hasil penelusuran, foto tersebut adalah hasil suntingan dari berita Detikcom berjudul “Suara Sanggahan Saat Foto Jokowi dan Soeharto Disandingkan”. Berita yang terbit pada 15 Februari 2022 pukul 06:41 WIB itu memberitakan foto Presiden Joko Widodo dan Mantan Presiden ke-2 Soeharto sejajar mengenakan jas dan peci warna hitam diunggah di akun Instagram YLBHI. Foto itu diberikan keterangan persamaan pemerintahan Jokowi dengan Orde Baru.Sebagai tambahan, foto yang digunakan dalam berita Detikcom itu diambil saat Presiden Jokowi menyampaikan pidato di One Ocean Summit pada Jumat, 11 Februari 2022. Foto itu bersumber dari Biro Pers, Media, dan Informasi Sekretariat Presiden."
